Work_Pressure,Manager_Support,Sleeping_Habit,Exercise_Habit,Job_Satisfaction,Social_Person,Work_Life_Balance,Lives_With_Family,Work_From_Home,Work_From_Hybrid,Work_From_Office,Working_State,Avg_Working_Hours_Per_Day,Stress_Level
5.0,1.0,3.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,3.036303630363036,0.8244805229187002,1
1.0,4.0,2.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0294599018003274,-0.6091659395431046,1
5.0,5.0,1.0,5.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,3.036303630363036,1.0538639569125892,1
5.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.036303630363036,-0.15039907155532664,4
1.0,1.0,4.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0584070796460177,-2.2148499775003256,1
2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.924193548387097,-1.0679328075308816,2
3.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.036303630363036,-0.6091659395431046,1
2.0,4.0,3.0,2.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,2.94314381270903,0.7671346644202283,3
3.0,2.0,3.0,5.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,2.924193548387097,2.487510419374395,2
5.0,2.0,2.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.924193548387097,-0.03570735455838267,2
5.0,5.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.94314381270903,2.0860894098850893,1
2.0,4.0,3.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3.036303630363036,-0.03570735455838267,4
3.0,5.0,1.0,4.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0584070796460177,-1.9281206850079644,2
5.0,4.0,3.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0294599018003274,1.2259015324080063,3
2.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.924193548387097,0.4230595134293953,2
4.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,2.94314381270903,0.02163850394009034,3
1.0,3.0,5.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,2.94314381270903,-0.6665117980415766,3
4.0,2.0,5.0,4.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.94314381270903,0.6524429474232842,2
2.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0294599018003274,2.487510419374395,5
3.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0294599018003274,-0.6091659395431046,1
5.0,5.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0294599018003274,0.7097888059217563,1
1.0,1.0,5.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.924193548387097,-0.7812035150385206,2
5.0,5.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.036303630363036,0.02163850394009034,3
1.0,4.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.924193548387097,0.02163850394009034,1
5.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0584070796460177,-0.8385493735369931,1
2.0,3.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,3.036303630363036,0.4804053719278673,4
4.0,2.0,2.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,2.94314381270903,-0.26509078855227064,5
5.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,3.036303630363036,1.2832473909064783,3
2.0,5.0,3.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0294599018003274,0.7671346644202283,3
5.0,3.0,4.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.924193548387097,-0.32243664705074365,3
1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,2.924193548387097,0.8244805229187002,5
5.0,5.0,4.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,2.94314381270903,-1.0105869490324095,1
5.0,4.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0584070796460177,2.1434352683835614,2
1.0,4.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0294599018003274,-0.8958952320354651,1
3.0,3.0,3.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0584070796460177,-0.32243664705074365,5
1.0,3.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,2.924193548387097,-0.37978250554921567,3
2.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,3.036303630363036,-0.9532410905339376,4
1.0,5.0,3.0,3.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,2.94314381270903,0.4804053719278673,4
1.0,5.0,2.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,3.036303630363036,-0.09305321305685467,2
5.0,2.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,2.924193548387097,0.07898436243856233,3
5.0,5.0,2.0,4.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0584070796460177,2.200781126882033,1
5.0,5.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,3.036303630363036,-0.32243664705074365,3
2.0,4.0,2.0,3.0,3.0,5.0,0.0,1.0,0.0,0.0,1.0,2.94314381270903,0.7097888059217563,3
4.0,5.0,5.0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,0.0,2.94314381270903,2.258126985380505,1
4.0,5.0,1.0,4.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0294599018003274,0.19367607943550633,3
4.0,5.0,2.0,5.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.94314381270903,0.3083677964324513,4
4.0,1.0,3.0,5.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0584070796460177,-0.7238576565400486,3
4.0,4.0,3.0,3.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0294599018003274,0.6524429474232842,5
5.0,4.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0294599018003274,-0.20774493005379865,3
5.0,5.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.924193548387097,-0.8958952320354651,5
3.0,4.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,3.036303630363036,-0.26509078855227064,4
4.0,2.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0584070796460177,2.487510419374394,3
2.0,1.0,3.0,3.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0294599018003274,0.3083677964324513,1
4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.94314381270903,-0.15039907155532664,1
5.0,5.0,4.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,2.94314381270903,-1.0105869490324095,3
4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0294599018003274,0.3657136549309233,4
1.0,4.0,5.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.036303630363036,0.1363302209370343,3
4.0,2.0,5.0,4.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,3.036303630363036,-1.4120079585217151,1
4.0,4.0,1.0,3.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,3.036303630363036,0.5377512304263393,1
1.0,5.0,5.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0584070796460177,0.8244805229187002,3
4.0,1.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.036303630363036,-0.09305321305685467,1
3.0,5.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,2.924193548387097,-0.9532410905339376,3
4.0,2.0,5.0,2.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,2.924193548387097,-0.8385493735369931,4
1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.94314381270903,1.1112098154110612,4
5.0,2.0,3.0,5.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0294599018003274,1.9713976928881443,3
4.0,3.0,2.0,2.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0294599018003274,0.1363302209370343,3
4.0,3.0,3.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0294599018003274,0.02163850394009034,1
5.0,4.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0294599018003274,-0.26509078855227064,5
4.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0584070796460177,-0.03570735455838267,5
2.0,3.0,3.0,1.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0584070796460177,0.19367607943550633,2
2.0,4.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,3.036303630363036,-0.6665117980415766,5
5.0,4.0,2.0,5.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0294599018003274,-0.4371283640476876,5
4.0,5.0,5.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.924193548387097,-0.26509078855227064,1
3.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0584070796460177,0.2510219379339783,1
3.0,2.0,4.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0294599018003274,-0.20774493005379865,2
3.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0294599018003274,-1.5840455340171316,5
3.0,1.0,5.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0584070796460177,-1.5266996755186595,5
5.0,1.0,3.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,2.924193548387097,2.487510419374395,3
5.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0294599018003274,-2.1001582605033815,4
2.0,2.0,4.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,3.036303630363036,1.2259015324080063,5
2.0,5.0,5.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.94314381270903,0.5950970889248123,5
4.0,4.0,3.0,2.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,2.94314381270903,0.2510219379339783,5
2.0,2.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,2.94314381270903,1.3979391079034222,4
3.0,5.0,3.0,3.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,3.036303630363036,0.3083677964324513,1
3.0,1.0,4.0,1.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,2.924193548387097,-0.15039907155532664,4
2.0,2.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0584070796460177,0.4230595134293953,5
1.0,3.0,1.0,5.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,2.924193548387097,-0.37978250554921567,2
5.0,1.0,1.0,3.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,2.924193548387097,0.5377512304263393,2
4.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0294599018003274,0.5950970889248123,1
4.0,2.0,4.0,4.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0584070796460177,-0.6091659395431046,5
2.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.94314381270903,0.8818263814171733,5
2.0,1.0,4.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0294599018003274,1.9713976928881443,3
5.0,4.0,3.0,3.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0294599018003274,0.3657136549309233,5
3.0,4.0,4.0,2.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0294599018003274,-1.4120079585217151,5
1.0,4.0,5.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,2.94314381270903,-1.4120079585217151,5
4.0,2.0,3.0,1.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,3.036303630363036,-1.5840455340171316,3
4.0,3.0,2.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,3.036303630363036,-1.0105869490324095,4
3.0,2.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,3.036303630363036,0.8244805229187002,4
1.0,3.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,2.94314381270903,-0.6665117980415766,2
4.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.036303630363036,-0.20774493005379865,3
2.0,2.0,5.0,4.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,2.94314381270903,-1.3546621000232426,1
4.0,1.0,3.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.036303630363036,0.7097888059217563,2
5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.036303630363036,0.8244805229187002,1
3.0,4.0,5.0,4.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,2.924193548387097,-0.32243664705074365,5
2.0,1.0,3.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,2.94314381270903,-0.7812035150385206,5
1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,3.036303630363036,-1.1252786660293541,2
3.0,3.0,1.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,2.94314381270903,-0.5518200810446316,1
5.0,3.0,3.0,5.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,2.94314381270903,0.6524429474232842,5
3.0,1.0,5.0,5.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0584070796460177,0.4230595134293953,2
5.0,3.0,3.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0294599018003274,0.1363302209370343,1
2.0,5.0,3.0,5.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,3.0584070796460177,-0.7238576565400486,4
1.0,5.0,3.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0584070796460177,-0.8385493735369931,4
1.0,5.0,2.0,3.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,3.0294599018003274,-0.20774493005379865,3
1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0584070796460177,0.5377512304263393,2
1.0,5.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.924193548387097,1.1112098154110612,3
1.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,2.94314381270903,0.07898436243856233,4
3.0,3.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.924193548387097,0.9391722399156452,4
5.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0294599018003274,1.2259015324080063,4
2.0,3.0,3.0,2.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,3.036303630363036,-0.7238576565400486,5
1.0,3.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0584070796460177,-0.26509078855227064,1
5.0,1.0,2.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0294599018003274,-0.20774493005379865,3
4.0,5.0,5.0,1.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,2.924193548387097,0.7097888059217563,5
4.0,5.0,5.0,1.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0,3.036303630363036,0.19367607943550633,4
3.0,2.0,2.0,1.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0294599018003274,-0.37978250554921567,3
5.0,4.0,2.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0294599018003274,-0.15039907155532664,3
2.0,4.0,3.0,4.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,2.924193548387097,-1.469353817020187,2
3.0,2.0,4.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0294599018003274,0.7671346644202283,5
5.0,4.0,1.0,3.0,3.0,5.0,0.0,1.0,1.0,0.0,0.0,3.036303630363036,-1.4120079585217151,5
4.0,3.0,3.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,2.924193548387097,0.5950970889248123,2
2.0,1.0,4.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0584070796460177,2.487510419374395,2
4.0,1.0,3.0,2.0,2.0,5.0,1.0,1.0,0.0,1.0,0.0,3.0294599018003274,0.4230595134293953,4
5.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,2.924193548387097,-1.0679328075308816,5
2.0,2.0,4.0,4.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0584070796460177,0.2510219379339783,5
1.0,5.0,2.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0294599018003274,-0.20774493005379865,4
2.0,5.0,2.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0294599018003274,-1.5266996755186595,2
2.0,5.0,4.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.94314381270903,1.4552849664018952,5
5.0,2.0,3.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,2.924193548387097,-0.6665117980415766,3
4.0,1.0,4.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,3.036303630363036,0.1363302209370343,1
2.0,4.0,3.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0294599018003274,1.8567059758912001,3
5.0,3.0,1.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,3.036303630363036,-0.32243664705074365,2
2.0,4.0,5.0,2.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0584070796460177,-0.49447422254615964,5
3.0,3.0,5.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,3.036303630363036,1.2832473909064783,4
5.0,1.0,5.0,2.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0584070796460177,1.3405932494049502,4
2.0,2.0,2.0,4.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,2.924193548387097,1.5699766833988391,2
1.0,5.0,3.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,1.0,3.0584070796460177,1.5126308249003673,4
2.0,5.0,3.0,2.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0294599018003274,0.8818263814171733,5
2.0,5.0,4.0,5.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,2.94314381270903,0.02163850394009034,5
2.0,5.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,3.0584070796460177,0.9391722399156452,1
5.0,1.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,3.036303630363036,-1.4120079585217151,4
4.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,2.94314381270903,-0.6665117980415766,3
5.0,1.0,4.0,4.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,2.94314381270903,-0.49447422254615964,5
2.0,2.0,3.0,5.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,3.0294599018003274,-1.0105869490324095,5
1.0,4.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0294599018003274,-0.03570735455838267,4
1.0,4.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0584070796460177,-0.9532410905339376,2
1.0,2.0,2.0,5.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,3.0294599018003274,-0.03570735455838267,2
3.0,3.0,3.0,4.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,3.036303630363036,0.02163850394009034,1
4.0,5.0,5.0,4.0,2.0,5.0,1.0,0.0,1.0,0.0,0.0,2.924193548387097,-0.09305321305685467,3
3.0,1.0,4.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0584070796460177,0.8818263814171733,5
1.0,5.0,1.0,5.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.94314381270903,1.6273225418973112,2
4.0,2.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.036303630363036,0.3083677964324513,5
5.0,2.0,5.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,2.94314381270903,0.7097888059217563,4
4.0,2.0,3.0,5.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,2.94314381270903,1.3405932494049502,4
3.0,4.0,4.0,4.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,2.94314381270903,0.3083677964324513,2
3.0,3.0,3.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,3.036303630363036,-1.3546621000232426,1
1.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0294599018003274,-0.03570735455838267,3
2.0,2.0,2.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,2.94314381270903,0.02163850394009034,1
5.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,2.924193548387097,0.9391722399156452,4
4.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0294599018003274,-1.2399703830262985,3
5.0,4.0,1.0,5.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0584070796460177,-0.37978250554921567,1
3.0,4.0,5.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,2.94314381270903,-1.2973162415247705,2
1.0,2.0,3.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,3.036303630363036,-0.03570735455838267,1
4.0,1.0,4.0,2.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,2.924193548387097,-0.6665117980415766,4
4.0,5.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,2.94314381270903,-0.6665117980415766,1
2.0,4.0,3.0,5.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0294599018003274,-0.09305321305685467,2
5.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,3.0584070796460177,2.487510419374395,5
5.0,1.0,5.0,5.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,3.0294599018003274,-0.7238576565400486,3
3.0,4.0,5.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.036303630363036,-0.8385493735369931,5
3.0,4.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.924193548387097,-0.4371283640476876,5
2.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0294599018003274,-0.5518200810446316,1
5.0,5.0,3.0,5.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,2.924193548387097,-0.8385493735369931,3
2.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.94314381270903,-2.4442334114942144,1
2.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,2.924193548387097,0.4230595134293953,2
4.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0294599018003274,-0.7812035150385206,5
2.0,2.0,1.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.924193548387097,0.07898436243856233,2
1.0,1.0,4.0,3.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,2.924193548387097,0.02163850394009034,2
1.0,2.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.036303630363036,0.2510219379339783,4
